DATE,vwretd
19840731,-0.020623

19840831,0.112691

19840928,0.000403

19841031,-0.000073

19841130,-0.010685

19841231,0.023653

19850131,0.085719

19850228,0.016898

19850329,-0.001747

19850430,-0.002187

19850531,0.055774

19850628,0.017091

19850731,-0.000251

19850830,-0.004794

19850930,-0.039826

19851031,0.044441

19851129,0.069228

19851231,0.043061

19860131,0.00983

19860228,0.072501

19860331,0.053887

19860430,-0.007903

19860530,0.050847

19860630,0.014244

19860731,-0.0597

19860829,0.066183

19860930,-0.07902

19861031,0.049305

19861128,0.015093

19861231,-0.026387

19870130,0.128499

19870227,0.047922

19870331,0.023664

19870430,-0.016996

19870529,0.005123

19870630,0.043655

19870731,0.044247

19870831,0.037147

19870930,-0.020773

19871030,-0.225361

19871130,-0.072272

19871231,0.070324

19880129,0.044875

19880229,0.051691

19880331,-0.016598

19880429,0.010993

19880531,0.000447

19880630,0.051457

19880729,-0.007272

19880831,-0.028006

19880930,0.037204

19881031,0.017645

19881130,-0.016411

19881230,0.021071

19890131,0.066101

19890228,-0.016442

19890331,0.021465

19890428,0.048207

19890531,0.039336

19890630,-0.004856

19890731,0.077128

19890831,0.022126

19890929,-0.001473

19891031,-0.029285

19891130,0.017816

19891229,0.018294

19900131,-0.070114

19900228,0.0149

19900330,0.024148

19900430,-0.028283

19900531,0.088935

19900629,-0.004193

19900731,-0.009392

19900831,-0.091903

19900928,-0.053844

19901031,-0.012499

19901130,0.065742

19901231,0.029511

19910131,0.049083

19910228,0.075848

19910328,0.028922

19910430,0.003311

19910531,0.040737

19910628,-0.044024

19910731,0.046789

19910830,0.026807

19910930,-0.010979

19911031,0.017847

19911129,-0.037291

19911231,0.106782

19920131,-0.001164

19920228,0.013355

19920331,-0.023699

19920430,0.013414

19920529,0.006407

19920630,-0.019257

19920731,0.0399

19920831,-0.020819

19920930,0.012461

19921030,0.010981

19921130,0.040183

19921231,0.017742

19930129,0.012617

19930226,0.005425

19930331,0.025089

19930430,-0.025391

19930528,0.029572

19930630,0.005434

19930730,-0.000806

19930831,0.039496

19930930,0.000629

19931029,0.018051

19931130,-0.0176

19931231,0.019555

19940131,0.031459

19940228,-0.024207

19940331,-0.045795

19940429,0.009495

19940531,0.009353

19940630,-0.02788

19940729,0.030657

19940831,0.042629

19940930,-0.018338

19941031,0.01452

19941130,-0.037206

19941230,0.01258

19950131,0.020353

19950228,0.039647

19950331,0.027065

19950428,0.025048

19950531,0.033908

19950630,0.031142

19950731,0.040801

19950831,0.009295

19950929,0.036354

19951031,-0.011339

19951130,0.042771

19951229,0.015192

19960131,0.028121

19960229,0.016353

19960329,0.010914

19960430,0.02556

19960531,0.02681

19960628,-0.008289

19960731,-0.053849

19960830,0.032451

19960930,0.052985

19961031,0.013673

19961129,0.065604

19961231,-0.011391

19970131,0.053441

19970228,-0.001067

19970331,-0.044864

19970430,0.042396

19970530,0.07164

19970630,0.044081

19970731,0.076513

19970829,-0.03632

19970930,0.058453

19971031,-0.034432

19971128,0.030354

19971231,0.017822

19980130,0.004511

19980227,0.073321

19980331,0.051273

19980430,0.010924

19980529,-0.025746

19980630,0.031839

19980731,-0.023377

19980831,-0.15786

19980930,0.063814

19981030,0.074406

19981130,0.062001

19981231,0.063059

19990129,0.038447

19990226,-0.038083

19990331,0.037925

19990430,0.049092

19990528,-0.020708

19990630,0.050823

19990730,-0.030833

19990831,-0.009907

19990930,-0.022669

19991029,0.062107

19991130,0.036822

19991231,0.083745

20000131,-0.039622

20000229,0.03176

20000331,0.053498

20000428,-0.059519

20000531,-0.03886

20000630,0.051576

20000731,-0.017679

20000831,0.074984

20000929,-0.051154

20001031,-0.02448

20001130,-0.102365

20001229,0.02045

20010131,0.039575

20010228,-0.099084

20010330,-0.070408

20010430,0.083835

20010531,0.01045

20010629,-0.017561

20010731,-0.018284

20010831,-0.05898

20010928,-0.091497

20011031,0.027847

20011130,0.078789

20011231,0.017856

20020131,-0.015966

20020228,-0.0217

20020328,0.044699

20020430,-0.0496

20020531,-0.01051

20020628,-0.070259

20020731,-0.081125

20020830,0.007949

20020930,-0.099923

20021031,0.07494

20021129,0.061282

20021231,-0.053334

