date,gross_real_return,gross_cons_growth,gross_inflation_cons,consumption_per_capita,gross_real_tbill
1959-02-28,1.0109579062397553,1.0006229224411516,1.0004373018476003,0.0002135783527442639,1.001462058791389
1959-03-31,1.00571436382525,1.0180902221035215,0.9992896951152881,0.0002174420325819119,1.0029123735578762
1959-04-30,1.037975704918033,0.9817704517570749,1.0006014544261577,0.00021347816255892023,1.001397704918033
1959-05-31,1.0206154266958425,1.0184807553981456,0.9989071038251366,0.00021742340026401722,1.003296498905908
1959-06-30,0.997762130888052,0.9958074219092394,1.0022428884026258,0.00021651183567965163,1.0001567600021832
1959-07-31,1.0332284787350057,0.993247983171137,1.0010370612957806,0.00021504994412149461,1.0014614231188659
1959-08-31,0.9862179047619046,1.001525294171654,1.001908396946565,0.00021537795854787765,0.999991619047619
1959-09-30,0.9525118058948054,1.00821529850278,1.002612244897959,0.0002171473527682678,1.000486484285947
1959-10-31,1.0133797259977257,0.9992750451488477,1.0023883189491396,0.00021698993074146356,1.0006102236421726
1959-11-30,1.02031276849642,0.9946087169562763,0.9983213299398929,0.00021582007660719832,1.0042858646127142
1959-12-31,1.0277770065075922,1.004162246542396,1.000216966804079,0.00021671837297483626,1.0031823427331887
1960-01-31,0.9350211841390549,0.9964357385736891,0.9983731019522776,0.00021594593203766918,1.004934926670288
1960-02-29,1.0144448970724023,0.9893925342902301,1.000054318305269,0.0002136552929684153,1.0028455271305194
1960-03-31,0.9853802764976959,1.0163173699295078,1.0018467220683287,0.00021714158542117832,1.0016502304147465
1960-04-30,0.9786453316092882,1.017764785481483,1.0062889671997832,0.00022099905910529468,0.9956384623673292
1960-05-31,1.0343458146930415,0.9709179722539227,0.9995689887398309,0.00021457195833653753,1.0031323613431788
1960-06-30,1.0234206480133703,1.0085616910776072,0.9997844014445102,0.00021640905715773214,1.0026161625963665
1960-07-31,0.9760739799763161,1.0025345810761046,1.0015634265998168,0.00021695756345870175,0.9997369846054472
1960-08-31,1.029428143294484,0.99079410331375,1.0022069114005814,0.0002149602745442004,0.9994942048445137
1960-09-30,0.9410440365002685,0.996384087876349,1.0005907943498575,0.0002141829970813727,1.0010086097691897
1960-10-31,0.9934469213868494,1.008487858402606,1.0016639828234033,0.00021600095203284516,1.0005351267349014
1960-11-30,1.044505804453463,0.998696477646169,1.0035367879534858,0.00021571938996342157,0.9977710952101246
1960-12-31,1.0473899061533538,0.9853033898833323,1.0014417685694452,0.00021254904619452377,1.0001580036258932
1961-01-31,1.0641837217984962,1.0048685493734337,0.9997333902100883,0.00021358385172019805,1.002167187583338
1961-02-28,1.0366024043074953,1.0060859901137909,1.0004800256013655,0.00021488372093023255,1.0009195329992535
1961-03-31,1.0330478230674713,1.011079709815748,0.9979208870881758,0.0002172645702022677,1.004087611517709
1961-04-30,1.0092366983309182,0.9981161184493256,0.9954057374859767,0.00021685526948684843,1.006323313476091
1961-05-31,1.0267367533304685,1.0027101407890602,0.9990876402082327,0.0002174429777980074,1.0027148366996133
1961-06-30,0.9728199730965832,1.002476272282421,0.9983347657928664,0.00021798142581693568,1.0036713478611783
1961-07-31,1.026840189873418,0.9909863637951827,1.003174603174603,0.00021601662054521444,0.9986297468354433
1961-08-31,1.0265493942318,1.0038014943010605,1.000536365586784,0.0002168378064971514,1.0008631714377614
1961-09-30,0.9809888298728473,1.0049599207987134,0.9991958829205532,0.00021791330484354402,1.0025061323032352
1961-10-31,1.0289144491593705,1.0005889440900915,0.9988196791673374,0.00021804164359658394,1.0030839608959552
1961-11-30,1.045943817810721,1.0078399370066953,1.000053714347102,0.00021975107634721747,1.001446207970781
1961-12-31,1.0013294402322954,1.0046414973238167,0.9988720592974543,0.00022077105037998892,1.0030313598967573
1962-01-31,0.9621478982122725,0.9998486478698215,1.0016131634134537,0.00022073763621123217,1.0007855693348364
1962-02-28,1.0156832745349584,0.9968025400551506,1.0043485263327427,0.000220031836461126,0.9976616420782554
1962-03-31,0.9947746099593928,1.0099083657192807,1.0004276245456492,0.00022221199236666778,1.0015717033554177
1962-04-30,0.9340541975374449,0.9959690580913071,1.0024043599059627,0.00022131626873402282,0.9997961302702416
1962-05-31,0.9170709260741926,1.0038630150586507,0.9986141463674645,0.00022217121681286672,1.0037911075527088
1962-06-30,0.9186180622393326,0.9888965939087042,0.9982385908726983,0.00021970435957079613,1.0037680461982674
1962-07-31,1.0686570555108608,1.004257045558508,0.9969521976259222,0.00022063965103889184,1.0057653740949317
1962-08-31,1.0208077663671373,1.0032008132019383,1.0027353177795657,0.00022134587734680818,0.9995658697047495
1962-09-30,0.9390012372442236,1.008872742785775,1.0116067608044501,0.00022330982238319812,0.9906023158673928
1962-10-31,1.0046497376093295,0.9902798033248339,0.9974620631311795,0.00022113920699013702,1.0051510098065202
1962-11-30,1.1110766885802141,1.0035193294325306,0.9998409753511794,0.00022191746870998388,1.002159368041565
1962-12-31,1.0147671803592304,1.0014352218681717,0.9976672675220021,0.00022223596951400574,1.0046435646721221
1963-01-31,1.0481125807476441,1.001428214563085,1.0036135614836856,0.00022255337016210698,0.9988904479508632
1963-02-28,0.9775236125072746,0.9915834699129015,1.0007942391189242,0.00022068024302615243,1.0015045658959842
1963-03-31,1.036389952762592,1.0078801105544286,0.9968255647849321,0.00022241922773837667,1.0054918687967729
1963-04-30,1.0489919005102042,0.9956865775751438,0.9986731065230082,0.00022145983965373076,1.0038319781037415
1963-05-31,1.0186465686534685,0.9989658846886131,1.0013286564625852,0.00022123082464268757,1.0010699219786634
1963-06-30,0.9784570076658737,1.0050600698980607,1.0039276046918952,0.0002223502680789852,0.998378762886598
1963-07-31,0.9946981519507188,1.000088934489468,1.0041237113402062,0.00022237004268655985,0.9985821355236139
1963-08-31,1.0506999422268908,1.008744726271068,1.002474595903754,0.00022431460784073955,1.0000253413865545
1963-09-30,0.9914783159227603,0.9882926288372472,0.995483193277311,0.0002216884734695207,1.0072495515458477
1963-10-31,1.0264046658591814,0.9941407674824702,1.00184657592065,0.00022038954915700652,1.0010514824372003
1963-11-30,0.9918539775115595,1.003306442060827,1.002264468903049,0.00022111825443210596,1.0004345470786045
1963-12-31,1.018524179855361,1.0094163852654314,1.0026271542664986,0.00022320038910505835,1.0002721308038989
1964-01-31,1.0219723597618302,0.9969309553486984,1.0033539461272403,0.00022251537714470702,0.9996472370207876
1964-02-29,1.0177810463659147,1.0103641242285242,1.0003133813851457,0.00022482155415619166,1.002285902255639
1964-03-31,1.017465629080274,1.0048580805656955,0.9997389306599832,0.0002259137553791873,1.0033619470413122
1964-04-30,1.0036379124895571,0.9958384002706671,1.0002611375150154,0.00022497359275594868,1.0026381735588972
1964-05-31,1.0183483290622877,1.019303124872573,0.9983813700918963,0.00022931628610994815,1.0042254693792165
1964-06-30,1.0136325521920666,0.9989575150840528,1.0020396422781237,0.0002290772273406975,1.0009584029227554
1964-07-31,1.0186986244268446,1.0077285243985779,1.001670146137787,0.00023084765628135864,1.0013276365152146
1964-08-31,0.9891215350922932,1.0072981181249718,0.9992705293872447,0.0002325324097457729,1.0035320471373448
